time,value
2026-06-17T21:05:35.01379271Z,42
2026-06-17T21:23:30.680127364Z,43
2026-06-17T21:23:36.776894245Z,42
2026-06-17T21:24:16.675994886Z,43
2026-06-17T21:25:24.738586851Z,42
2026-06-17T21:25:42.676006689Z,43
2026-06-17T21:25:44.678152359Z,42
2026-06-17T21:28:02.674883134Z,43
2026-06-17T21:28:14.677946715Z,42
2026-06-17T21:33:08.675770479Z,43
2026-06-17T21:33:46.676194801Z,42
2026-06-17T21:33:54.677212474Z,43
2026-06-17T21:34:00.709033385Z,42
2026-06-17T21:34:08.686750979Z,43
2026-06-17T21:34:44.677621285Z,42
2026-06-17T21:34:52.694670524Z,43
2026-06-17T21:34:56.694538418Z,42
2026-06-17T21:35:00.677409621Z,43
2026-06-17T21:36:30.682866956Z,42
2026-06-17T21:36:32.923715317Z,43
2026-06-17T21:37:00.679390421Z,42
2026-06-17T21:37:14.679168312Z,43
2026-06-17T21:37:18.677644547Z,42
2026-06-17T21:37:32.676200168Z,43
2026-06-17T21:37:42.688617701Z,42
2026-06-17T21:38:46.682134324Z,43
2026-06-17T21:38:48.679944789Z,42
2026-06-17T21:40:08.679224982Z,43
2026-06-17T21:40:10.683672525Z,42
2026-06-17T21:41:34.682668175Z,43
2026-06-17T21:41:38.6807458Z,42
2026-06-17T21:41:40.709249861Z,43
2026-06-17T21:41:50.68113282Z,42
2026-06-17T21:41:54.217768893Z,43
2026-06-17T21:41:58.720918256Z,42
2026-06-17T21:43:44.680889789Z,43
2026-06-17T21:43:46.682030719Z,42
2026-06-17T21:43:56.679901026Z,43
2026-06-17T21:44:00.677746105Z,42
2026-06-17T21:44:33.036093769Z,43
2026-06-17T21:44:38.781867931Z,42
2026-06-17T21:44:42.698287541Z,43
2026-06-17T21:44:44.78377421Z,42
2026-06-17T21:45:44.681049635Z,43
2026-06-17T21:47:04.686753855Z,42
2026-06-17T21:47:06.714228322Z,43
2026-06-17T21:52:44.684796053Z,42
2026-06-17T21:52:46.687269183Z,43
2026-06-17T21:54:30.684127985Z,42
2026-06-17T21:54:36.71734605Z,43
2026-06-17T21:54:56.682103859Z,42
2026-06-17T21:55:02.683100848Z,43
2026-06-17T21:55:40.198851399Z,42
2026-06-17T21:55:44.682591554Z,43
2026-06-17T21:59:50.900354599Z,42
2026-06-17T21:59:55.114132029Z,43
2026-06-17T22:00:06.781069883Z,42
2026-06-17T22:00:12.784000805Z,43
2026-06-17T22:00:20.777734316Z,42
2026-06-17T22:00:22.816807447Z,43
