time,value
2026-06-17T13:14:48.730083202Z,85
2026-06-17T13:14:50.732436916Z,87
2026-06-17T13:14:54.736852963Z,86
2026-06-17T13:14:56.730113725Z,88
2026-06-17T13:15:00.730474127Z,86
2026-06-17T13:15:02.944086606Z,88
2026-06-17T13:15:04.739662971Z,87
2026-06-17T13:15:06.732072215Z,86
2026-06-17T13:15:08.815040251Z,89
2026-06-17T13:15:10.738472159Z,86
2026-06-17T13:15:12.737566756Z,88
2026-06-17T13:15:14.730822756Z,86
2026-06-17T13:15:18.81302065Z,87
2026-06-17T13:15:24.826715012Z,86
2026-06-17T13:15:26.817704349Z,89
2026-06-17T13:15:28.930479806Z,87
2026-06-17T13:15:30.813652924Z,89
2026-06-17T13:15:32.740202558Z,87
2026-06-17T13:15:34.825252855Z,88
2026-06-17T13:15:36.829702442Z,87
2026-06-17T13:15:38.817234927Z,88
2026-06-17T13:15:42.913265501Z,89
2026-06-17T13:15:44.739628537Z,88
2026-06-17T13:15:46.82387885Z,87
2026-06-17T13:15:48.736333879Z,89
2026-06-17T13:15:50.930622803Z,87
2026-06-17T13:15:53.015108759Z,88
2026-06-17T13:15:55.024913917Z,85
2026-06-17T13:15:56.834134602Z,88
2026-06-17T13:16:00.9268612Z,87
2026-06-17T13:16:03.01686394Z,86
2026-06-17T13:16:04.912255787Z,87
2026-06-17T13:16:08.812689226Z,86
2026-06-17T13:16:10.830354583Z,88
2026-06-17T13:16:12.822380027Z,87
2026-06-17T13:16:14.739443293Z,85
2026-06-17T13:16:16.739903408Z,88
2026-06-17T13:16:18.73071011Z,87
2026-06-17T13:16:20.734036169Z,86
2026-06-17T13:16:22.728974956Z,88
2026-06-17T13:16:24.731484272Z,87
2026-06-17T13:16:26.729920439Z,88
2026-06-17T13:16:28.731786523Z,84
2026-06-17T13:16:30.733749237Z,87
2026-06-17T13:16:32.735258256Z,86
2026-06-17T13:16:36.736853572Z,88
2026-06-17T13:16:38.840579144Z,87
2026-06-17T13:16:41.250867444Z,89
2026-06-17T13:16:45.515582184Z,87
2026-06-17T13:16:47.316052636Z,86
2026-06-17T13:16:49.228290959Z,89
2026-06-17T13:16:51.132606463Z,87
2026-06-17T13:16:53.038302114Z,88
2026-06-17T13:16:54.981614597Z,89
2026-06-17T13:16:56.838820819Z,88
2026-06-17T13:16:58.940613919Z,86
2026-06-17T13:17:04.895830969Z,88
2026-06-17T13:17:08.732080092Z,87
2026-06-17T13:17:10.933065805Z,90
2026-06-17T13:17:12.922194468Z,87
2026-06-17T13:17:14.980346837Z,86
2026-06-17T13:17:16.833337408Z,87
2026-06-17T13:17:18.88577749Z,88
2026-06-17T13:17:20.821719684Z,87
2026-06-17T13:17:24.828693341Z,89
2026-06-17T13:17:26.882212028Z,86
2026-06-17T13:17:28.73498458Z,87
2026-06-17T13:17:30.741670592Z,88
2026-06-17T13:17:32.729754511Z,86
2026-06-17T13:17:36.356378087Z,88
2026-06-17T13:17:36.736254913Z,87
2026-06-17T13:17:38.73443246Z,88
2026-06-17T13:17:40.733410776Z,87
2026-06-17T13:17:42.735658095Z,88
2026-06-17T13:17:48.737560307Z,89
2026-06-17T13:17:50.737075813Z,87
2026-06-17T13:17:52.731149555Z,86
2026-06-17T13:17:54.738804883Z,87
2026-06-17T13:17:58.732157564Z,86
2026-06-17T13:18:00.732408256Z,88
2026-06-17T13:18:02.73310924Z,86
2026-06-17T13:18:04.73614906Z,89
2026-06-17T13:18:06.740186046Z,88
2026-06-17T13:18:12.822753159Z,87
2026-06-17T13:18:14.731916274Z,86
2026-06-17T13:18:16.731610649Z,87
2026-06-17T13:18:18.732092416Z,88
2026-06-17T13:18:20.731049807Z,86
2026-06-17T13:18:22.743303557Z,88
2026-06-17T13:18:24.735892809Z,87
2026-06-17T13:18:28.736974673Z,86
2026-06-17T13:18:34.811789228Z,88
2026-06-17T13:18:38.916425881Z,86
2026-06-17T13:18:40.934484315Z,87
2026-06-17T13:18:44.935636802Z,86
2026-06-17T13:18:47.025434433Z,89
2026-06-17T13:18:48.918679205Z,87
2026-06-17T13:18:50.834509896Z,86
2026-06-17T13:18:52.838822403Z,89
2026-06-17T13:18:54.883999227Z,86
2026-06-17T13:18:56.823630441Z,87
2026-06-17T13:18:58.877386206Z,88
2026-06-17T13:19:00.7346743Z,87
2026-06-17T13:19:04.779715983Z,86
2026-06-17T13:19:08.737045475Z,88
2026-06-17T13:19:10.731720796Z,87
